question,keywords,answer,category
"What is your current role?","rhuzzel who role job title work developer","Rhuzzel Paramio is a Freelance Mid Full Stack Web Developer and Quality Assurance Specialist, focused on building secure, scalable web applications and ensuring software quality.","about"
"What is your professional summary?","summary bio about describe yourself introduction","Rhuzzel is a highly dependable and organized professional with a positive attitude, strong work ethic, and the ability to manage multiple priorities in fast-paced environments.","about"
"Where did you study?","school university college education study degree","Rhuzzel studied at FEU Institute of Technology in Manila, taking Bachelor of Science in Computer Science with specialization in Software Engineering.","education"
"When did you graduate?","graduation year graduate when finish school","Rhuzzel is expected to complete his BS Computer Science (Software Engineering) program by November 2025.","education"
"What is your specialization?","specialization major focus field","Rhuzzel specializes in Software Engineering, focusing on full-stack development and quality assurance automation.","education"
"Do you have internship experience?","intern internship ojt training","Yes, Rhuzzel completed a Software QA Internship at Reed Elsevier Shared Services Philippines Inc. from December 2023 to July 2024.","experience"
"Where did you intern?","intern company where ojt place","Rhuzzel interned as a Software QA at Reed Elsevier Shared Services Philippines Inc. in Quezon City, Metro Manila.","experience"
"What did you do as a Software QA Intern?","qa intern tasks responsibilities duties work","Rhuzzel performed manual and automated testing, assessed functionalities, troubleshot issues, and created automation documentation while supporting CI/CD testing workflows.","qa"
"What automation tools did you use in your internship?","automation tools intern selenium playwright jenkins","Rhuzzel used Selenium WebDriver with C#, Jenkins for CI/CD automation, Git for version control, and Playwright for automating modern web technologies.","qa"
"What is your most recent freelance experience?","freelance recent work latest job project","Rhuzzel worked as a Mid Full Stack Web Developer & QA Specialist, developing a HIPAA-compliant elderly care web application using Next.js, Tailwind CSS, Prisma, and PostgreSQL.","experience"
"Have you worked on HIPAA-compliant applications?","hipaa healthcare elderly care compliance project","Yes, Rhuzzel developed and maintained a HIPAA-compliant web application for elderly care, ensuring secure data handling and regulatory compliance.","projects"
"What backend tools do you use?","backend server node express api tools","Rhuzzel works with Node.js/Express and databases like PostgreSQL and MySQL, and uses Prisma for database modeling and integration.","tech"
"What databases do you use?","database db sql postgres mysql data","Rhuzzel has experience working with PostgreSQL and MySQL for building scalable and reliable applications.","tech"
"What testing tools do you use?","testing tools qa test automation selenium playwright postman","Rhuzzel uses Selenium WebDriver (C#), Playwright (C# / TypeScript), Postman for API testing, and JMeter for performance testing.","qa"
"What CI/CD tools do you use?","cicd pipeline jenkins azure devops deployment","Rhuzzel uses Jenkins, Azure DevOps, and Azure Pipelines to support CI/CD automation and testing workflows.","tech"
"What version control tools do you use?","git github bitbucket version control vcs","Rhuzzel uses Git with platforms like GitHub and Bitbucket for collaboration and version control.","tech"
"What project management tools do you use?","project management jira agile scrum tools","Rhuzzel has experience using Jira for tracking tasks, bugs, and agile workflows.","tech"
"What are your soft skills?","soft skills personality traits strengths","Rhuzzel's soft skills include time management, decision making, attention to detail, and strong communication skills.","about"
"What programming languages do you know?","programming languages code coding skills","Rhuzzel has experience with C#, Python, Java, JavaScript, TypeScript, PHP, and C++.","tech"
"What frontend skills do you have?","frontend ui react html css tailwind bootstrap","Rhuzzel builds responsive UI using HTML, CSS, JavaScript, React, Tailwind CSS, and Bootstrap.","tech"
"Do you have experience with Laravel?","laravel php framework","Yes, Rhuzzel has intermediate experience building web applications using Laravel.","tech"
"Do you have experience with Vue 3?","vue vuejs vue3 frontend framework","Yes, Rhuzzel has intermediate experience using Vue 3 for building modern web interfaces.","tech"
"Do you have experience with .NET?","dotnet .net csharp c# framework","Yes, Rhuzzel has intermediate experience working with .NET and C# development.","tech"
"What leadership roles have you held?","leader leadership officer council role position","Rhuzzel served as Public Relations Officer and Logistic Officer for the FEU Tech Student Coordinating Council and Director of Logistics for the Junior Philippine Computer Society - FEU Tech Chapter.","leadership"
"What organizations are you part of?","organization club group student council jpcs","Rhuzzel has been actively involved in FEU Tech Student Coordinating Council and Junior Philippine Computer Society - FEU Tech Chapter.","leadership"
"What volunteer work have you done?","volunteer community service devcon","Rhuzzel volunteered in DevCon Pro as part of the Logistics Committee and joined FEU Tech's Mangrove Tree Planting activity.","awards"
"What awards or recognition have you received?","awards recognition achievement honor","Rhuzzel was recognized as an Active Student Leader at FEU Tech (2023 and 2024).","awards"
"What certifications do you have?","certifications certified ccna devnet cisco python java","Rhuzzel is certified as an IT Specialist in Python and Java, and holds Cisco certifications in Cybersecurity and Data Science, plus a Google Cloud badge in Generative AI.","certifications"
"What languages do you speak?","language speak tagalog english ilokano","Rhuzzel speaks Tagalog (Advanced), English (Intermediate), and Ilokano (Intermediate).","about"
"Are you open to freelance or full-time work?","available hire hiring open work freelance full-time job","Yes, Rhuzzel is open to freelance and full-time opportunities in Full Stack Development and QA Automation.","availability"
"Do you have references available?","references referral recommend","Yes, Rhuzzel can provide professional references upon request.","contact"
"What is your phone number?","phone number call mobile contact","You can contact Rhuzzel at 09277417341.","contact"
"Where in the Philippines are you based?","location where based address city manila","Rhuzzel is based in Manila, Philippines.","about"
"How old are you?","age old birthday birth year how old","Rhuzzel is 24 years old.","about"
"What is your gender?","gender male female sex","Rhuzzel is a male.","about"
"What is your nationality?","nationality country citizen filipino","Rhuzzel is Filipino.","about"
"What is your marital status?","status single married relationship","Rhuzzel is single.","about"
"What is your highest level of education?","education degree highest level qualification","Rhuzzel has a Bachelor of Science in Computer Science with a specialization in Software Engineering.","about"
"What is your email address?","email address mail contact message reach","You can reach Rhuzzel at boyparamio@gmail.com.","contact"
"How can I contact you?","contact reach connect message email phone","You can reach Rhuzzel at boyparamio@gmail.com, by phone at 09277417341, or connect on LinkedIn.","contact"
